timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
22,0,0,0,0,0,0.33,HBEFA3/PC_G_EU4,0,0,veh0,744926153#3_0,64.26,221.93,!veh0!var#1,13.72,veh_passenger,0,18276.4,24787.62
22,148.35,7902.36,0.86,3.45,0.17,180.83,HBEFA3/PC_G_EU4,0,3.4,veh1,737358450#9_0,70.64,5.21,!veh1!var#1,8.98,veh_passenger,0,29160.29,24478.17
22,0,0,0,0,0,270.9,HBEFA3/PC_G_EU4,0,0,veh2,5337487#6_0,63.24,80.15,!veh2!var#1,13.66,veh_passenger,0,23509.72,25288.51
22,0,0,0,0,0,1.19,HBEFA3/PC_G_EU4,0,0,veh3,-724636540#1_0,60.09,72.55,!veh3!var#1,10.99,veh_passenger,0,26157.96,26508.91
22,0,0,0,0,0,359.98,HBEFA3/PC_G_EU4,0,0,veh4,-733279815#3_0,68.77,32.97,!veh4!var#1,20.64,veh_passenger,0,27950.02,24602.16
23,0,0,0,0,0,0.33,HBEFA3/PC_G_EU4,0,0,veh0,744926153#3_0,60.38,233.96,!veh0!var#1,12.02,veh_passenger,0,18276.47,24799.64
23,127.06,7761.25,0.76,3.34,0.16,180.83,HBEFA3/PC_G_EU4,0,3.34,veh1,737358450#9_0,69.45,16.16,!veh1!var#1,10.95,veh_passenger,0,29160.14,24467.22
23,11.94,3215.35,0.13,1.12,0.03,270.9,HBEFA3/PC_G_EU4,0,1.38,veh2,5337487#6_0,65.17,94.06,!veh2!var#1,13.91,veh_passenger,0,23495.82,25288.73
23,0,0,0,0,0,359.91,HBEFA3/PC_G_EU4,0,0,veh3,:2702125254_10_0,51.64,0.79,!veh3!var#1,6.49,veh_passenger,0,26157.99,26515.39
23,0,0,0,0,0,359.98,HBEFA3/PC_G_EU4,0,0,veh4,-733279815#3_0,67.55,52.92,!veh4!var#1,19.96,veh_passenger,0,27950.01,24622.11
24,0,0,0,0,0,0.33,HBEFA3/PC_G_EU4,0,0,veh0,744926153#3_0,53.44,241.48,!veh0!var#1,7.52,veh_passenger,0,18276.51,24807.16
24,56.74,4667.73,0.37,1.86,0.08,180.83,HBEFA3/PC_G_EU4,0,2.01,veh1,737358450#9_0,65.51,27.92,!veh1!var#1,11.76,veh_passenger,0,29159.96,24455.46
24,8.98,3132.62,0.11,1.07,0.03,270.9,HBEFA3/PC_G_EU4,0,1.35,veh2,5337487#6_0,65.23,108.17,!veh2!var#1,14.12,veh_passenger,0,23481.7,25288.95
24,0,0,0,0,0,349.59,HBEFA3/PC_G_EU4,0,0,veh3,:2702125254_10_0,48.94,4.76,!veh3!var#1,3.97,veh_passenger,0,26157.18,26519.23
